strike,call_last,call_prior_settle,call_volume,put_last,put_prior_settle,put_volume
56,-,42.71,0,0.01,0.01,121
65,-,33.75,0,0.01,0.05,148
70,29,28.78,3,0.05,0.08,121
75,-,23.85,0,0.04,0.15,420
80,19,18.99,57,0.07,0.29,113
85,14.67,14.29,17,0.16,0.59,134
86.5,-,12.95,0,0.24,0.75,116
87,14.27,12.52,5,0.21,0.81,308
87.5,-,12.09,2,0.27,0.88,144
90,9.82,10.07,107,0.46,1.36,985
93,6.82,7.96,14,0.89,2.25,215
94,6.33,7.34,17,1.14,2.63,163
95,6,6.75,130,1.5,3.05,289
96,4.62,6.21,91,1.79,3.5,150
97,4.33,5.71,120,2.26,4,22
100,3,4.44,601,3.57,5.73,789
100.5,2.67,4.25,142,-,6.04,6
102,2.12,3.74,478,-,7.03,0
105,1.14,2.88,197,7,9.17,5
107,0.95,2.41,730,-,10.7,0
108,0.76,2.21,142,-,11.5,0
110,0.46,1.85,1158,13,13.14,1
112,0.37,1.55,520,13,14.84,1
113.5,0.48,1.37,102,-,16.15,0
120,0.22,0.81,389,-,22.09,0
180,0.01,0.06,275,-,108.09,0
200,0.01,0.03,112,-,128.08,0
